Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,correct,percentage
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,13,0.928571429
Yes,Yes,Yes,Yes,Yes,No,No,Yes,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,6,0.428571429
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,1
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13,0.928571429
Yes,Yes,Yes,Yes,Did not answer,Yes,No,Yes,Yes,No,Yes,Yes,Did not answer,Did not answer,9,0.642857143
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,1
Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,6,0.428571429
Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Did not answer,10,0.714285714
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,8,0.571428571
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,12,0.857142857
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,10,0.714285714
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,7,0.5
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,12,0.857142857
Yes,Yes,Yes,Yes,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13,0.928571429
Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,0.857142857
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Did not answer,Yes,Yes,No,Did not answer,9,0.642857143
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,12,0.857142857
Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,7,0.5
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,7,0.5
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,1
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,9,0.642857143
Yes,Yes,Yes,Yes,Did not answer,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,12,0.857142857
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,7,0.5
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,7,0.5
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13,0.928571429
Yes,Yes,Yes,Yes,Yes,Yes,No,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,6,0.428571429
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Did not answer,No,No,No,No,No,8,0.571428571
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Did not answer,Did not answer,Did not answer,Did not answer,8,0.571428571
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,11,0.785714286
